KEY;TYPE;REF;GEOTYPE;VARIANTS;FILES
Paolinus Minorita;persName;;;Paolinus Minorita|Paolino Minorita;
Papa;persName;;;Summus Pontifex|Papa|domini Pape|Summo Pontifice|Summi Pontificis;
Paschalis de Victoria vel de Hispania O.F.M.;persName;;;Paschalis de Victoria vel de Hispania O.F.M.|Paschalis|Paschalis Hispanus de Victoria;
Pasqualis Fernandez S.J.;persName;;;Pasqualis Fernández|Pasqualis Fernández;
Paulus Reoyn S.J.;persName;;;Paulus Reoyn|Paulus Reoyn;
Paulus S.J.;persName;;;Fr. Paulus;
Peregrinus de Castello O.F.M.;persName;https://www.wikidata.org/wiki/Q64780678;;Peregrinus de Castello;
Pereira, Bartolomeus;persName;https://www.wikidata.org/wiki/Q69441113;;Bartolomeus Pereira;
Pereira, Guilielmus S.J.;persName;;;Guiliermus Pereira;
Pereira, Hector S.J.;persName;;;Hector Pereira|Hector Pereira;
Pereira, Iohannes S.J.;persName;;;Joannes Pereira|Joannes Pereira;
Pereira, Thomas;persName;https://www.wikidata.org/wiki/Q1772304;;Thomas Pereira;
Perera, Jacobus;persName;;;Jacobus Perera;
Pérez, Franciscus S.J.;persName;;;Franciscus Pérez;
Pestana, Adrianus;persName;;;Adrianus Pestana|Adrianus Pestana;
Petro Codarzo;persName;;;Petro Codarzo;
Petro Marchio S.J.;persName;;;Petrus Márquez|Petrus Márquez|Petrus Márquez|Petrus Márquez;
Petrus;persName;;;Petrus;
Petrus Caneveri;persName;;;Petrus Caneveri;
Petrus Chiquan S.J.;persName;;;Petrus Chiquam|Petrus Chiquan;
Petrus de Florentia O.F.M.;persName;;;Petrus de Florentia O.F.M.|Petrus de Florentia;
Petrus de la Piñuela O.F.M.;persName;;;Petrum de la Piñuela;
Petrus de Lucalongo;persName;;;Petrus de Lucalongo;
Petrus Martelli de Provincia O.F.M.;persName;;;Petrus Martelli de Provincia;
Petrus Ramón S.J.;persName;;;Petrus Ramón;
Philippus de Marinis S.J.;persName;;;Philippus de Marinis|Philippus de Marinis|Philippus Marini|Philippus Marini|Philippus Marinus|Philippus Marinus;
Philippus II Rex Hispaniae;persName;https://viaf.org/88888319;;Philippo 2° Rege Hispaniarum|Philippo 2° Rege Hispaniarum;
Pinciunus;persName;;;Pinciunus;
Pincomus;persName;;;Pincomus;
Polancus, Iohannes S.J.;persName;http://www.viaf.org/54197290;;Iohannes Polanco|Polanco;
Polus, Marcus;persName;http://viaf.org/viaf/173430120;;Marcus Polus|Marco Polo;
Publius Ovidius Naso;persName;http://www.viaf.org/88342447;;Ovidius de Ponto|Publius Ovidius Naso;
Quemener, Ludovicus;persName;;;Ludovicum Quemener|Ludovicum Quemener|Ludovicus Quemener|Ludovicus Quemener;
Quimura, Michael S.J.;persName;;;Michael Quimura;
Quimura, Thomas S.J.;persName;;;Thomas Quimura;
Raymundus de Gouvea S.J.;persName;;;Raymundo de Gouvea|Raymundo de Gouvea|Raymundus de Gouvea|Raymundus de Gouvea;
Raymundus Ruphi de Provincia O.F.M.;persName;;;Raymundus Ruphi;
Rhodes, Alexandro S.J.;persName;;;Alexandro Rhodes|Alexander Rhodius|Alexandro Rhodes;
Ribeiro, Belchior S.J.;persName;;;Belchior Ribeiro|Belchior Ribeiro;
Ribeiro, Vincentius S.J.;persName;;;Vincentio Ribeiro|Vincentio Ribeiro;
Ribera, Iohannes de;persName;http://www.viaf.org/25406668;;Ioanni Rivera|Ribera, Iohannes de;
Riberus, Vincentius S.J.;persName;;;Vincentius Riberus|Vincentius Riberus;
Richardus de Burgundia O.F.M.;persName;;;Richardus de Burgundia|Richardus de Burgundia O.F.M.;
Rochus S.J.;persName;;;Rochus;
Rodrigues, Sebastiano;persName;;;Sebastiano Rodrigues;
Rodriguez, Antonius S.J.;persName;;;Antonius Rodríguez|Antonius Rodríguez;
Rodriguez, Iohannes;persName;;;Iohannes Rodriguez;
Rogerius, Michaelis;persName;;;Michealis Rogerius;
Román Taraura;persName;;;Román Taraura|Román Taraura;
Ruan, Georgius;persName;;;Georgius Ruan|Georgius Ruan;
Rubinus, Antonius S.J.;persName;http://www.viaf.org/67637998;;Antonius Rubinus|Antonius Rubinus|Antonio Rubino|Antonio Rubino|Antonius Rubinus|Antonius Rubinus;
Ruidas, Ascanius S.J.;persName;;;Ascanius Ruidas|Ascanius Ruidas;
Sanga, Ignatius S.J.;persName;;;Ignatius Sanga|Ignatius Sanga;
Sebastianus Buguensis S.J.;persName;;;Sebastianus Buguensis;
Sebastianus de Amaya S.J.;persName;;;Sebastianus d’Amaya|Sebastianus d’Amaya|Sebastianus de Amaya|Sebastianus de Amaya;
Sebastianus S.J.;persName;;;Fr. Sebastianus;
Sebastianus, Rex Portugaliae;persName;http://www.viaf.org/263888102;;rege Portugaliae, Dom Sebastiano|Sebastianus Rex|Dom Sebastiano|Portugalliae Rex Sebastianus|Portugalliae Rex Sebastianus|Portugalliae Rege|Portugalliae Rex;
Semedo, Alvarus S.J.;persName;;;Alvarus Semedus|Alvari Semedo|Alvarum Semedo|Semedo|Alvarus Semedo;
Simeon;persName;;;Simeon;
Simion;persName;;;Simion fr.|Fr. Simion;
Simõis, Antonius S.J.;persName;;;Antonius Simõis|Antonius Simõis;
Simon S.J.;persName;;;Magister Simon;
Simon S.J.;persName;;;Fr. Simon;
Siqueira, Bartholomeus S.J.;persName;;;Bartholomaeo Siqueira|Bartholomaeo Siqueira;
Siqueira, Gaspar;persName;;;Gaspar Siqueira|Gaspar Siqueira;
Sixtus V;persName;http://www.viaf.org/7525513;;Sixtus V, Papa|Sixti V|Sixtus Quintus Pontifex;
Soares, Michael S.J.;persName;;;Michael Soares;
Sotelus, Ludovicus;persName;http://www.viaf.org/28019171;;Sotelus|Ludovicus Sotelus;
Stephanoni, Iohannes Franciscus S.J.;persName;;;Joannes Franciscus Stephanoni|Joannes Franciscus [Stephanoni];
Stephanus O.F.M.;persName;;;Fr. Stephanus;
Suares, Bartholomeus S.J.;persName;;;Bartholomeus Suárez|Bartholomeus Suárez;
Suares, Didacus S.J.;persName;;;Didacus Suares|Didacus Suares;
Tacata Leo S.J.;persName;;;Tacata Leo;
Tai Jia, Rex;persName;;;Tai hia;
Taiguanus;persName;;;Taiguanus|Taiguanus|Taiguano|Taiguano|Taiguiani|Taiguiani|Taingous|Taingous|Taiguano|Taiguano;
Taltaus Mieminus;persName;;;Taltaus Mieminus|Taltaus Mieminus;
Tanus, Rex;persName;;;Tanus, Rex|Tani;
Taurinus, Iacobus O.F.M.;persName;;;Iacobum Tarin|Iacobus Tarin|Iacobus Taurinus;
Tavares Bocarro, Manuele;persName;;;Manuele Tavares Bocarro;
Taveira, Franciscus S.J.;persName;Trigautius;;Franciscus Taveira|Franciscus Taveira|Franciscus Taveyra|Francisco Taveira|Francisco Taveira;
Thaedus S.J.;persName;;;Fr. Thaedus;
Timotheus;persName;;;Thimotheo;
Thomas S.J.;persName;;;Fr. Thomas;
Torrente, Stanislaus S.J.;persName;;;Stanislaus Torrente|Stanislaus Torrente;
Torres, Antonius de;persName;;;Antonius de Torres|Antonius de Torres|Antonius Torres|Antonius Torres;
Cosimus de Torres;persName;;;Cosmum de Torres|Cosmum de Torres;
Torres, Iohannes de S.J.;persName;;;Joannes de Torres;
Trigault, Nicolas S.J.;persName;http://www.viaf.org/2477678;;Trigautio|Trigautius|Nicolaus Trigautius|;
Turcotti, Carolus S.I.;persName;;;Turcotti, Carolus S.I.|Carolus Turcottus|Carolo Turcotti|Carlos Turcoti|Turcotti;
Valerius de Ledesma S.J.;persName;;;VALERIUS DE LEDESMA|VALERIUS DE LEDESMA|Valerius de Ledesma|Valerius de Ledesma;
Valguarneira, Thomas S.J.;persName;;;Thomas Valguarneira|Thomas Valguarneira|Thomas Valguarnera|Thomas Valguarnera|Thoma de Valguaneira|Thoma de Valguaneira;
Valignanus, Alexander S.J.;persName;http://www.viaf.org/76359221;;Alessandro Valignano|Alexandro Valignano|Alex. Valig.|Alexander Valignano|Alexander Valignanus;
Varus, Franciscus;persName;;;Franciscus Varo;
Vaz, Mattheus S.J.;persName;;;Mattheus Vaz|Mattheus Vaz|Mattheus Vas;
Ventura de Sarezana O.F.M.;persName;;;Ventura de Sarezana|Ventura de Sarezana O.F.M.;
Vera, Ioannes de ;persName;;;Ioanne de Vera;
Vieyra, Sebastianus S.J.;persName;;;Sebastianus Vieyra|Sebastianus Vieyra;
Villela, Gasparo;persName;;;Gasparo Villela|Gasparo Villela;
Villela, Vicentius S.J.;persName;;;Vicentius Villela;
Vomi, Iohannes S.J.;persName;;;Vomi Joannes;
Vota, Agustinus S.J.;persName;;;Agustinus Vota|Augustinos Vota|Augustinos Vota|Augustinus Vota;
Wen Zhou;persName;http://www.viaf.org/333154076018111860005;;Venguami|Venganus|Venguanum|Wen of Zhou|Venguani;
Xaverius, Franciscus;persName;http://www.viaf.org/51717999;;Franciscus Xabierius|Franciscus Xaverius|Francisci Xabieri|Francisco Xavier|Xaverio|Xaverius|Saverius|Sancti Xaverii;
Yama, Iohannes S.J.;persName;http://www.viaf.org/120872443;;Yama Joannes;
Yesün Temür Khan;persName;;;Imperator|Yesün Temür Khan;
Yquiccuqui, Thomas S.J.;persName;;;Thomas Yquiccuqui;
Yuqui, Didacus S.J.;persName;;;Didacus Yuqui|Didacus Yuqui;
Zeng zi;persName;http://www.viaf.org/103216532;;Zentii|Zeng zi;
Duarte De Sande;persName;;;Duarte De Sande;
Antonius de Almeida S.J.ù;persName;;;Antonius de Almeida;
Lazarus Cattaneus S.J.;persName;;;Lazarus Cattaneus;
Franciscus Petri S.J.;persName;;;Franciscus Petri ;
Iohannes de Rocha S.J.;persName;;;Iohannes de Rocha;
Didacus Pantoia S.J.;persName;;;Didacus de Pantoia|Didacus Pantoia|Didacus de Pantoia;
Bartholomaeus Tedeschi S.J.;persName;;;Bartholomaeus Tedeschi;
Ribeiro, Petrus S.J.;persName;;;Petrus Ribeiro;
Ferreira, Gaspar S.J.;persName;;;Gaspar Ferreira;
Alphonsus Vagnoni S.J;persName;;;Alphonsus Vagnoni;
Felicianus de Sylva S.J.;persName;;;Felicianus de Sylva;
Hieronymus Rodriguez S.J.;persName;;;Hieronymus Rodriguez;
Sebastianus de Ursis S.J.;persName;;;Sebastianus de Ursis;
Dias, Emanuel iunior S.J.;persName;;;Emanuel Dias iunior;
Franciscus Sambiasius S.J.;persName;;;Franciscus Sambiasius|Franciscus Sambiasi;
Iulius Aleni S.J.;persName;;;Iulio Aleni|Iulius Aleni;
Petrus Spira S.J.;persName;;;Petrus Spira ;
Iohannes Uremon S.J.;persName;;;Iohannes Uremon;
Iohannes Terentius S.J.;persName;;;Iohannes Terentius;
Iohannes Adamus Schal à Bell S.J.;persName;;;Iohannes Adamus Schal à Bell|oannes Adamus Schal à Bell|Iohannes Adamus Schall|Ioannis Adami;
Iacobus Rho S.J.;persName;;;Iacobus Rho;
Figueredo, Rodericus de S.J.;persName;;;Rodericus de Figueredo;
Froes, Iohannes S.J. ;persName;;;Iohannes Froes;
Andreas Rodomina S.J.;persName;;;Andreas Rodomina;
Simon de Cuhna S.J.;persName;;;Simon de Cuhna S.J.;
Tranquillus Grasetti S.J.;persName;;;Tranquillus Grasetti;
Stephanus Faber S.J.;persName;;;Stephanus Faber S.J.;
Petrus Canevari S.J.;persName;;;Petrus Canevari;
Trigautius, Michaël S.J.;persName;;;Michaël Trigautius;
Todeschino, Augustinus S. J.;persName;;;Augustinus Todeschino;
Antonius de Gouea S.J.;persName;;;Antonius de Gouea;
Iohannes Monteiro S.J.;persName;;;Iohannes Monteiro;
Ludovicus Buglio S.J.;persName;;;Ludovicus Buglio;
Michael Valta  S.J.;persName;;;Michael Valta;
Nicolaus Viva  S.J.;persName;;;Nicolaus Viva;
Gabriel de Magalhoes  S.J.;persName;;;Gabriel de Magalhoes;
Iosephus de Almeida S.J.;persName;;;Iosephus de Almeida;
Franciscus Ferraris S.J.;persName;;;Franciscus Ferraris;
Iohannes Nicolaus Smogolecky S.J.;persName;;;Iohannes Nicolaus Smogolecky;
Xavier, Andreas S.J.;persName;;;Andreas Xavier;
Iohannes Valat S.J.;persName;;;Iohannes Valat;
Emanuel Giorgi S.J.;persName;;;Emanuel Giorgi;
Felicianus Pacheco S.J.;persName;;;Felicianus Pacheco;
Bartholomaeus Martinez S.J.;persName;;;Bartholomaeus Martinez;
Lazzarus Cattanaeus S.J.;persName;;;Lazzarus Cattanaeus;
Iohannes Soërius S.J.;persName;;;Iohannes Soërius ;
Iohannes de Rocha S.J.;persName;;;Iohannes de Rocha;
Franciscus Sambiasius S.J.;persName;;;Franciscus Sambiasius;
Hieronymus Natalis S.J.;persName;;;Hieronymi Natalis;
Iohannes Foes S.J.;persName;;;Iohannes Foes;
Alfonsus Pacecus S.J.;persName;;;Alfonsus Pacecus;
Romanus Tamura S.J;persName;;;Romanus Tamora|Romanus Tamura;
Achon;placeName;;;Accon|Achon;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula2.xml
Adriaticum;geogName;https://pleiades.stoa.org/places/1004;mare;mare Adriaticum|mare Adriaticum;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Aethiopia;placeName;https://pleiades.stoa.org/places/39274;;Ethyopia|Aethiopia|Aethiopiae|Aethiopiae|Ethiopia|Ethiopia;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula3.xml
Aiaç;placeName;;;Aiaç|Aiaç;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Akashi;placeName;https://www.geonames.org/1847966;;Akashi|Acaxi;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Almaligh;placeName;;;Almaligh|Amalech|Almalik|Alimali;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_martyrium_fr_minorum_almaligh.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Anglia;placeName;https://www.geonames.org/6269131;;Anglia|Angliam;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula2.xml
Arcinga;placeName;;;Arcinga|Arcinga;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Arima;placeName;;;Arima|Arimensi|Domus Arimensis|Arimensi Domo;ELA_TEI/TESTI DEF/3. JAP/ELA_2_0_de_ledesma_catalogus_16190220.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Armenia;placeName;https://pleiades.stoa.org/places/981507;;Armenia|Armenie|Armenie Maioris|Armenie Minoris;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_peregrinus_epistolaepiscopizaytunensis.xml
Armenia Maior;placeName;;;Armenia Maior|Armenia Maior;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Armenia Minor;placeName;;;Armenia Minori|Armenia Minori|Armenia Parva|Armenia Parva;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Asia;placeName;;;Asyam|Asyam|Asia|Asiam;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Asia Media;placeName;;;Asyam Mediam|Asyam Mediam|Asiam Mediam;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Assisium;placeName;https://pleiades.stoa.org/places/413037;;Assisium|Assisii;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Atalaya;placeName;;;Atalaya|Atalaya;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Avenio;placeName;http://pleiades.stoa.org/places/148004;;Avenio|Avinionem;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Baicu;placeName;;;Baicu|Baachu;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Baldach;placeName;;;Baldach|Baldach;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Barach;placeName;;;Barach|Barach;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Barcellos;placeName;;;Barcellos|Barcellos;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsum_1689113030.xml
Basilitano;placeName;;;Basilitano|Basilitano;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Baudach;placeName;;;Baudach|Baudach;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Braccarensis;placeName;;;Braccarensis|Braccarensis;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Bucharra;placeName;;;Bucharra|Bucharra;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Bugen;placeName;;;Bugen;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_0_de_ledesma_catalogus_16190220.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Bungo;placeName;;;Bungi|Bungo|Bunguensi|Bunguensi regno|Bungi|Bungi|Residentia Bungensis|Bungensis;
Cambodja;placeName;;;Cambogensis;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_montefusculus_acta_congregationis_1650.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_majorica_indiculus_alphabeticus_1654.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_majorica_tertius_catalogus_provinciae_japonicae.xml
Canton;placeName;https://www.geonames.org/5149222;;Cantoni|urbe metropolitana Cantoniensi|Canton|civitatis Cantoniensis|Cantonensi|Cantonensi|Cantonensis|Cantonensis|Guangzhou|provinciae Cantonensis|provinciae Cantonensis|Cantoniensi provincia|provinciae Cantonensis|provinciae Cantonensis|Cantoniensi provincia;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_episcopos_tunkinenses_1674.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_cardinales_1672.xml
Canzusaensis Residentia;placeName;;;Canzusaensi|Residentia Canzusaensis;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml
Caspium mare;geogName;https://pleiades.stoa.org/places/884130;;Caspium mare|Caspium mare;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Cathay;placeName;;;Kathay|Cothay|Cathay;
Cayton;placeName;https://www.geonames.org/1797353/;;Cayton|Zayton|Quanzhou|Dioecesis Zaitonensis|;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula3.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula2.xml
Changcheu;placeName;;;Changcheu;
Chansi;placeName;;;Xansi|Chansi;
Chantong;placeName;;;Xantung|provincia de Xantung|Chantong|Xantung;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Chasuin;placeName;;;Chasuin|Chasuin;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Chayseria;placeName;;;Chayseria|Chayseria;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Chekiang;placeName;;;Chekiang|Chekiang|Tchekiang;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Chensi;placeName;;;Xensi|Chensi;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsum_1689113030.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Chermam;placeName;;;Chermam|Chermam;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Chijiwa;placeName;;;Chijiwa|Chinyivaensem|Ccingiva;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
China;placeName;;;Sinae|Sina|gran China|Chinae|regno sinico|Sinȩ|sinicum regnum|imperii Sinarum|Sinarum interiorem regionem|China|regni sinici|regno Sinarum|Sinis|sinico regno|Sinarum|Sinam|regnum sinicum|Chinan|Cino regno;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Chiuencheu;placeName;;;Chiuencheu|Chiuencheu;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_episcopos_tunkinenses_1674.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsa_16890315.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsum_1689113030.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_saverius_a_loyola_15480120.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_episcopos_tunkinenses_1675.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_cardinales_1672.xml
Ciampa;placeName;;;Ciampa|Ciampa;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml
Çiraç;placeName;;;Çiraç|Çiraç;
Cobinan;placeName;;;Cobinan|Cobinan;
Coccinozu;placeName;;;Coccinozu;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Cochin;placeName;;;Cochín|Cocini|Cochim|Cochim|Coccicinenses|Coccicinenses|Conchensis|Conchensis|Cocicinae|Cocicinae|Cocicinensis|Cocicinensis|Cocincinensi|Cocincinensi|Cocincinensi|Cocincinensi|Cocinensis|Cocinensis|Cocicinae|Cocicinae|Cocicinensis|Cocicinensis|Cocincinensi|Cocincinensi|Cocincinensi|Cocincinensi|Cocinensis|Cocinensis;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Colonia;placeName;https://pleiades.stoa.org/places/108751;;Coloniam|Colonia|Colonie|Coloni|Coloni;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Constantinopolis;placeName;http://pleiades.stoa.org/places/520998;;Constantinopolim|Costantinopolis;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Corea ;placeName;;;Corea|Coream|provinciae Coreae;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_saverius_a_loyola_15480120.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_saverius_a_loyola_15490114.xml
Cormos;placeName;;;Cormos|Cormos;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula2.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Cortalinum;placeName;;;Cortalinum|Cortalinum;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml
Coulani;placeName;;;Coulani|Coulani;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Cumanie;placeName;https://pleiades.stoa.org/places/863772;;Comaniam|Comania|Cumanie|Comanie;ELA_TEI/TESTI DEF/5. altri_archivi/UNIVE_3_1_polus_milione.xml
Curdistan;placeName;;;Curdistan|Curdistan;ELA_TEI/TESTI DEF/4. PRIMARY/ELA_2_2_valignanus_epistula_de_martirio.xml
Don;geogName;;;Don|Don;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Europa;placeName;https://pleiades.stoa.org/places/991376;;Europa|Europȩ|Europe;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Fokien;placeName;https://www.geonames.org/1811017;;provincȩ Fokien|Fokien|Fokiensi|Fokiensis|Fokiense|Fokiensi|Foukien|Fokiensis;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Fontanarosa;placeName;;;Fontanarosa|Fontanarosa;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Formosa (Tayvuan);placeName;https://www.geonames.org/1668284;;Formosa|Tayvuan|insularum Formosae;
Fugan;placeName;;;Fugan|Fugan;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Funai;placeName;;;Funay|Funai;
Galatas;placeName;https://www.geonames.org/262143/;;Galatas;ELA_TEI/TESTI DEF/3. JAP/ELA_2_0_de_ledesma_catalogus_16190220.xml
Gallia;placeName;https://pleiades.stoa.org/places/993;;Gallie|Gallia;
Gangis;geogName;;;Gangem|Gangem;ELA_TEI/TESTI DEF/3. JAP/ELA_2_0_de_ledesma_catalogus_16190220.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_0_primus_catalogus_provinciae_philippinarum_16210501.xml
