KEY;TYPE;REF;GEOTYPE;VARIANTS;FILES
Ganhai;placeName;;;Ganhai;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschalis_epistola_16891211.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_episcopos_tunkinenses_1674.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsa_16890315.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsum_1689113030.xml
Ganxai;placeName;;;Ganxai;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Gazari;placeName;;;Gazariam|Gazzariam|Gazari|provincie Gazzarie|Gazaria|Cassaria;
Genua;placeName;https://pleiades.stoa.org/places/383664/;;Ianuensis|Genua|Ianuensium|Genuensis;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Goa;placeName;;;Gouae|Goa|Goa insula|Goa insula|Goae|Goae|Goam|Goam|Goȩ|Goȩ|Goënse|Goënsis civitas|Goënsis civitas;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Graecia;placeName;https://www.geonames.org/390903;;Graeciam|Graecia;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Haimuen;geogName;;;Haimuen|Haimuen;ELA_TEI/TESTI DEF/4. PRIMARY/ELA_3_2_valignanus_catechismus.xml
Hainan;placeName;https://www.geonames.org/1809054/;;Hainan|Haynan|Haynanica;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Hangcheu;placeName;;;Hangcheumo|Hangcheu;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_cathalogus_domorum_1954.xml
Harima;placeName;;;Arimae|Farimae|Harima;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Haynanica;placeName;;;Haynanica|Haynanica;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula3.xml
Higo;placeName;;;Higo|Fingo;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_martyrium_fr_minorum_almaligh.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_andreasdeperusia_epistola.xml
Hirado;placeName;;;Hirado|Firandensem|Firando;ELA_TEI/TESTI DEF/2. INDICA/ELA_2_2_lancillottus_epistola_15461105.xml|ELA_TEI/TESTI DEF/4. PRIMARY/ELA_2_2_valignanus_epistula_de_martirio.xml
Hispania;placeName;https://pleiades.stoa.org/places/1027;;Hispania|Hispaniȩ|Hispaniam;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Hispaniae provinciae;placeName;;;provinciarum Hispaniae|provinciarum Hispaniae;ELA_TEI/confucioferrero.xml
Hizen;placeName;;;Figen|Hizen;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Hoeigan;placeName;;;Hoeigan;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Honan Jiang Pe;placeName;;;Honnan|Honan;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Houkuang;placeName;;;Hukuang|Houkuang;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_majorica_indiculus_alphabeticus_1654.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_majorica_tertius_catalogus_provinciae_japonicae.xml
Hungaria;placeName;https://www.geonames.org/719819;;Ungariam|Hungaria;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Ierusalem;placeName;https://pleiades.stoa.org/places/687928;;Ierusalem;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
India;placeName;https://pleiades.stoa.org/places/50004;;India|Yndie|Yndiam|Yndia|India|Indias|Indie|Provinciam Indicam|Provinciam Indicam;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Indiae Orientalis;placeName;https://pleiades.stoa.org/places/50004;;India Orientali|India Orientali|INDIA Orientali|Indiam orientalem|Indiam Orientalem|India Orientali|India Orientali|INDIA Orientali|Indiam orientalem|Indiam Orientalem|Provinciam Indicam|Provinciam|Indiae|Indiae Indicam|Indica Provincia|Indica Provincia;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_cardinales_iulio1672.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_cardinales_1672.xml
Italia;placeName;;https://pleiades.stoa.org/places/452346;Italia|Italia;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_lainez_normas_155807.xml
Iyo;placeName;;;regni Yo|Iyo;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Izumi;placeName;;;Izumi|Ynzumi;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Japonia;placeName;;;Japon|Jappon|Japone|Japone|Japonia|Japonia|Japonia|Japonie|Japponiam|Japoniae|Japoniae|Japoniam|Japoniam|Iaponiæ Regnum|Iaponiæ Regnum|Provinciae Japonensis|Provinciae Japonensis|Japonicae|Japponica Provincia|Provincia Japponica Provinciae|Japonicae|Japponica|Provinciae Japponiae|Provinciae Japponiae Viceprovincia|Japonica Viceprovincia|Japponicae Viceprovinciae|Japonicae Viceprovinciae Provinciae|JAPPONICA PROVINCIA|Iaponiam|Iaponiam|JAPPONICA PROVINCIA;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinus_paschalis_responsum_1689113030.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Karakitai;placeName;;;Karakitai|Karakytai|Kara-Khitai|Nigri Kitai;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Katsusa;placeName;;;Katsusa|Canzusaensem;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Khanbaliq;placeName;https://www.geonames.org/1816670/;;Peking|Pacchin|Khanbaliq|Cambalec|Ta Tu|Peking|Yen-King|Cambalieth|Chambaliech|Ga[m]balech|Cambaliensem civitatem|Kambaliensis sedis|Cambaliech;ELA_TEI/confucioferrero.xml
Kiang si;placeName;https://www.geonames.org/1806222;;Kiangsi;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_paschalisdavictoria_epistola.xml
Kiovia;placeName;ttps://www.geonames.org/703448;;Kioviam|Kiovia;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula3.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_cathalogus_domorum_1954.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula2.xml|ELA_TEI/TESTI DEF/2. INDICA/ELA_2_2_ignatius_de_loyola_p_francisco_xaverio_10_oct_1549.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_andreasdeperusia_epistola.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_episcopos_tunkinenses_1674.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_depolanco_anotaciones_sobre_las_misiones_1558.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Koga;placeName;;;Koga|Conguensem;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_bonaventura_ibanez_epistola_ad_episcopos_tunkinenses_1674.xml
Konoura;placeName;;;Consurensis|Konoura|Connurensem;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Kouangtong;placeName;;;Kouangtong|civitate Kuangtonensi|Kuangtung;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Koueitcheou;placeName;https://www.geonames.org/1809445;;Kueicheu|Koueitcheou;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_catalogo_para_claudio_aqua_viva_1588.xml
Kuangcheu;placeName;;;Kuangcheu|Kuangcheu;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Kuangsi;placeName;;;Kuangsi;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Kuangtung;placeName;;;Kuangtung|Kuangtungnensi|Kuangtungnensi;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml
Lamego;placeName;;;Lamego|Lamego;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula3.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_andreasdeperusia_epistola.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_peregrinus_epistolaepiscopizaytunensis.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_iohannesdemontecorvino_epistula2.xml
Lanki;placeName;;;Lanki;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Lisboa;placeName;https://rbms.info/lpn/v/vlysipone/;;Olyssipone|Lisboa;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_benedictuspolonus_relatio.xml
Lugdunum;placeName;https://pleiades.stoa.org/places/167717;;Lugdunum|Lugduno;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml
Lusitania;placeName;https://pleiades.stoa.org/places/981529;;Lusitania|Lusitania|Lucitaniȩ|Lusitaniam|Lusitaniam|Lusitanię regno|Lusitanię regno|Lusitanorum|Lusitanorum|Lusitanos|Lusitanos|Lusitaniȩnatione|Lusitanus|Lucitaniȩ|Lucitaniȩ;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_valignanus_catalogus_159301.xml
Luzon;geogName;;;Luzon|Luzon;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Macassar;placeName;;;Macassariae|Macassariae;
Macaum;placeName;;;COLLEGIO MACAENSI|Collegio Amacusaensi|Collegium Amacaense|Amacai|Macaum|Amaccao|Macan Amacaense|Amacaense|Amacaense|Amacaensi|Amacaensi|Amacaensis|Amacaensis|Amacai|Amacai|Amacaum|Amacaum|Amacusa|Amacusae|Amacusae|Amacusae|Domus Amacusensis|Collegium et Domus probationis Amacusensis|COLLEGIO MACAENSI|Collegio Machaoensi|Collegio Machaoensi|Collegio Machaoensi|Macai|Macai|Machao|Makan|Makau|Macao;
Macazarica;placeName;;;Macazarica|Macazarica;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_augustinusapaschali_epistola_16841215.xml
Malaca;placeName;;;Malaca|Malacae|Malacam|Malacam|Malacensi;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Malucas Insulas;placeName;;;Malucas Insulas|Malucas Insulas|Malucis|Malucis|Maluci;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_montefusculus_acta_congregationis_1650.xml
Manila;placeName;;;Manilȩ|Manila|Manilae|provincia Manilensi|Manilensis|Manilensem|Manilam|Manillae|Manilensi|Manilano Collegio|Manilano Collegio|Manilano Collegio|Manilano Collegio|Residentia Meacoensis|Meacoensis;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Maurum mare ;geogName;;;mare Nigrum|mare Nigrum;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Meacoensis Residentia ;placeName;;;Residentia Meacoensis|Meacoensis;ELA_TEI/TESTI DEF/4. PRIMARY/ELA_3_2_valignanus_catechismus.xml
Medorum Imperium;placeName;;;Medorum|imperio Medorum|imperium Medorum|Imperium Medorum;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Meridin;placeName;;;Meridin|Meridin;
Miyako;placeName;;;Meacoensi|Miyako|Miaco;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_depolanco_anotaciones_sobre_las_misiones_1558.xml|ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_cathalogus_domorum_1954.xml
Molina;placeName;;;Molina|Molina;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_ibanez_brevis_relatio.xml
Molucas;placeName;;;Islas del Moro|Molucas|Molukas;
Monte Maiore;placeName;;;Monte Maiore|Monte Maiore;
Motina;placeName;;;Motina|Motina;
Mus;placeName;;;Mus|Mus;
Musul;placeName;https://pleiades.stoa.org/places/874609;;Musul|Musul;ELA_TEI/TESTI DEF/3. JAP/ELA_2_2_primus_catalogus_jap_1654.xml
Myòken;placeName;;;Myòken|Meoquen;ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_majorica_indiculus_alphabeticus_1654.xml|ELA_TEI/TESTI DEF/1. SINICA/ELA_2_2_majorica_tertius_catalogus_provinciae_japonicae.xml
